Organization,Country
World Society for the Protection of Animals,United Kingdom
Unitarian Universalist Service Committee,Afghanistan
Unitarian Universalist Service Committee,Argentina
ActionAid International USA,United States
Adventist Development and Relief Agency International,United States
African Medical & Research Foundation,United States
African Methodist Episcopal Service and Development Agency,United States
Africare,United States
Aga Khan Foundation USA,United States
Air Serv International,United States
All Hands Volunteers,United States
Alliance for Peacebuilding,United States
Alliance to End Hunger,United States
American Friends Service Committee,United States
American Jewish Joint Distribution Committee,United States
American Jewish World Service,United States
American Near East Refugee Aid,United States
American Red Cross International Services,United States
American Refugee Committee,United States
AmeriCares,United States
America's Development Foundation,United States
Americas ReliefTeam,United States
Amigos de las Americas,United States
Ananda Marga Universal Relief Team,United States
United Methodist Committee on Relief,Afghanistan
United Methodist Committee on Relief,Armenia
Baptist World Alliance,United States
Basic Education Coalition,United States
Bethany Christian Service International,United States
B'nai B'rith International,United States
BRAC USA,United States
Bread for the World,United States
Bread for the World Institute,United States
Brother's Brother Foundation,United States
Campaign for Innocent Victims in Conflict,United States
CBM,United States
Center for Health & Gender Equity,United States
Centre for Development and Population Activities,United States
ChildFund International,United States
Christian Reformed World Relief Committee,United States
Church World Service,United States
Communications Consortium Media Center,United States
Concern America,United States
CONCERN Worldwide,United States
Congressional Hunger Center,United States
Counterpart International,United States
Creative Learning,United States
Direct Relief International,United States
Disability Rights Education and Defense Fund (DREDF),United States
Easter Seals,United States
Education Development Center (EDC),United States
Educational Concerns for Hunger Organization (ECHO),United States
Episcopal Relief & Development,United States
Ethiopian Community Development Council,United States
Family Care International,United States
Food for the Poor (FFP),United States
Freedom from Hunger,United States
Friends of ACTED,United States
Friends of the Global Fight,United States
Giving Children Hope,United States
Global Fund for Children,United States
Global Health Council,United States
Global Links,United States
Global Resource Services,United States
Global Washington,United States
GlobalGiving,United States
Good360,United States
Habitat for Humanity International,United States
Heart to Heart International,United States
Heartland Alliance,United States
Hebrew Immigrant Aid Society,United States
Heifer International,United States
Helen Keller International,United States
Holt International Children's Services,United States
Humane Society International (HSI),United States
IMA World Health,United States
Information Management and Mine Action Programs (IMMAP),United States
United Way Worldwide,Argentina
United Way Worldwide,Australia
INMED Partnerships for Children,United States
InsideNGO,United States
Institute for Sustainable Communities,United States
International Catholic Migration Commission (ICMC),United States
International Center for Research on Women (ICRW),United States
International Foundation for Electoral Systems (IFES),United States
International Fund for Animal Welfare,United States
International Housing Coalition (IHC),United States
International Medical Corps,United States
International Medical Health Organization (IMHO),United States
International Orthodox Christian Charities (IOCC),United States
International Relief & Development,United States
International Rescue Committee (IRC),United States
International Social Service - United States of America Branch Inc.,United States
International Youth Foundation,United States
IntraHealth International Inc.,United States
Jesuit Refugee Service,United States
Jhpiego,United States
Keystone Human Services International,United States
Korean American Sharing Movement,United States
Latter-day Saint Charities,United States
Life for Relief and Development,United States
Lions Club International Foundation,United States
Lutheran World Relief (LWR),United States
Management Sciences for Health (MSH),United States
MAP International,United States
Medical Care Development,United States
Medical Emergency Relief International (Merlin),United States
Medical Teams International,United States
Medshare,United States
Mercy Corps,United States
Mercy USA for Aid and Development,United States
Millennium Promise,United States
Mobility International USA,United States
National Association of Social Workers,United States
National Peace Corps Association,United States
ONE Campaign,United States
USA for UNHCR,Afghanistan
One Economy Corporation,United States
Operation Blessing International Relief and Development Corporation,United States
Operation USA,United States
Outreach International,United States
Oxfam America,United States
Pact,United States
Pan American Development Foundation,United States
Pan American Health and Education Foundation (PAHEF),United States
Pathfinder International,United States
PCI (Project Concern International),United States
PCI-Media Impact,United States
Perkins International,United States
Phelps Stokes,United States
Physicians for Human Rights,United States
Physicians for Peace,United States
Plan,United States
Planet Aid,United States
Plant with Purpose,United States
Population Action International,United States
Population Communication,United States
Presbyterian Disaster Assistance,United States
Project C.U.R.E,United States
ProLiteracy Worldwide,United States
Refugees International,United States
Religions for Peace,United States
Resolve Uganda,United States
RESULTS,United States
Salvation Army World Services,United States
Save the Children,United States
Seva Foundation,United States
Society for International Development (SID),United States
Solar Cookers International,United States
Stop Hunger Now,United States
Taiwan Buddhist Tzu Chi Foundation,United States
Winrock International,Afghanistan
Winrock International,Angola
The Eagles' Wings Foundation,United States
The Enough Project,United States
The Global FoodBanking Network (GFN),United States
The Hunger Project,United States
Transparency International USA,United States
Trickle Up Program,United States
U.S. Climate Action Network (USCAN),United States
U.S. Committee for Refugees & Immigrants,United States
U.S. Fund for UNICEF,United States
Unitarian Universalist Service Committee,United States
United Methodist Committee on Relief,United States
United Nations Foundation,United States
United States International Council on Disabilities (USICD),United States
United Way Worldwide,United States
USA for UNHCR,United States
Volunteers Association of Bangladesh (VAB),United States
Water Aid America,United States
WellShare International,United States
Winrock International,United States
Women for Women International,United States
Women Thrive Worldwide,United States
World Concern,United States
World Food Program USA (WFP USA),United States
World Hope International,United States
World Learning,United States
World Rehabilitation Fund,United States
World Relief,United States
World Resources Institute (WRI),United States
World Society for the Protection of Animals,United States
World Vision,United States
World Wildlife Fund (WWF),United States
Adventist Development and Relief Agency International,Uruguay
American Jewish Joint Distribution Committee,Uruguay
Baptist World Alliance,Uruguay
B'nai B'rith International,Uruguay
Brother's Brother Foundation,Uruguay
CBM,Uruguay
Episcopal Relief & Development,Uruguay
International Youth Foundation,Uruguay
Lions Club International Foundation,Uruguay
Pan American Development Foundation,Uruguay
Project C.U.R.E,Uruguay
Society for International Development (SID),Uruguay
Adventist Development and Relief Agency International,Uzbekistan
American Jewish Joint Distribution Committee,Uzbekistan
American Red Cross International Services,Uzbekistan
AmeriCares,Uzbekistan
Baptist World Alliance,Uzbekistan
Counterpart International,Uzbekistan
Friends of ACTED,Uzbekistan
Global Health Council,Uzbekistan
International Center for Not-for-Profit Law,Uzbekistan
International Relief Teams,Uzbekistan
Management Sciences for Health (MSH),Uzbekistan
Medical Teams International,Uzbekistan
PATH,Uzbekistan
Project C.U.R.E,Uzbekistan
Stop Hunger Now,Uzbekistan
Women for Women International,Afghanistan
World Vision,Uzbekistan
Adventist Development and Relief Agency International,Vanuatu
American Red Cross International Services,Vanuatu
CARE,Vanuatu
Episcopal Relief & Development,Vanuatu
Lions Club International Foundation,Vanuatu
World Vision,Vanuatu
Adventist Development and Relief Agency International,Venezuela
American Jewish Joint Distribution Committee,Venezuela
AmeriCares,Venezuela
Ananda Marga Universal Relief Team,Venezuela
Baptist World Alliance,Venezuela
Brother's Brother Foundation,Venezuela
Hebrew Immigrant Aid Society,Venezuela
International Center for Not-for-Profit Law,Venezuela
International Rescue Committee (IRC),Venezuela
International Social Service - United States of America Branch Inc.,Venezuela
International Youth Foundation,Venezuela
Jesuit Refugee Service,Venezuela
Lions Club International Foundation,Venezuela
Pan American Development Foundation,Venezuela
Perkins International,Venezuela
Project C.U.R.E,Venezuela
ProLiteracy Worldwide,Venezuela
Refugees International,Venezuela
Save the Children,Venezuela
Stop Hunger Now,Venezuela
Taiwan Buddhist Tzu Chi Foundation,Venezuela
United Way Worldwide,Venezuela
World Wildlife Fund (WWF),Venezuela
ACDI/VOCA,Vietnam
ActionAid International USA,Vietnam
Adventist Development and Relief Agency International,Vietnam
American Red Cross International Services,Vietnam
AmeriCares,Vietnam
Baptist World Alliance,Vietnam
Brother's Brother Foundation,Vietnam
CARE,Vietnam
Catholic Relief Services,Vietnam
CBM,Vietnam
ChildFund International,Vietnam
Church World Service,Vietnam
Development Gateway,Vietnam
Direct Relief International,Vietnam
Disability Rights Education and Defense Fund (DREDF),Vietnam
Friends of ACTED,Vietnam
Global Health Council,Vietnam
GlobalGiving,Vietnam
Habitat for Humanity International,Vietnam
Handicap International USA,Vietnam
Heart to Heart International,Vietnam
Heifer International,Vietnam
Helen Keller International,Vietnam
HelpAge USA,Vietnam
Holt International Children's Services,Vietnam
Information Management and Mine Action Programs (IMMAP),Vietnam
International Center for Not-for-Profit Law,Vietnam
Lions Club International Foundation,Vietnam
Management Sciences for Health (MSH),Vietnam
Operation USA,Vietnam
Oxfam America,Vietnam
Pact,Vietnam
PATH,Vietnam
Pathfinder International,Vietnam
Perkins International,Vietnam
Plan,Vietnam
World Learning,Albania
World Learning,Algeria
World Learning,Angola
Project C.U.R.E,Vietnam
ReSurge International,Vietnam
Save the Children,Vietnam
Stop Hunger Now,Vietnam
Taiwan Buddhist Tzu Chi Foundation,Vietnam
United Way Worldwide,Vietnam
Winrock International,Vietnam
World Concern,Vietnam
World Vision,Vietnam
World Wildlife Fund (WWF),Vietnam
Action Against Hunger | ACF International,West Bank and Gaza
American Friends Service Committee,West Bank and Gaza
American Near East Refugee Aid,West Bank and Gaza
AmeriCares,West Bank and Gaza
America's Development Foundation,West Bank and Gaza
CARE,West Bank and Gaza
Catholic Relief Services,West Bank and Gaza
CBM,West Bank and Gaza
CHF International,West Bank and Gaza
Church World Service,West Bank and Gaza
Direct Relief International,West Bank and Gaza
Education Development Center (EDC),West Bank and Gaza
Episcopal Relief & Development,West Bank and Gaza
Friends of ACTED,West Bank and Gaza
Global Health Council,West Bank and Gaza
GlobalGiving,West Bank and Gaza
Handicap International USA,West Bank and Gaza
HelpAge USA,West Bank and Gaza
World Rehabilitation Fund,Afghanistan
International Center for Not-for-Profit Law,West Bank and Gaza
International Foundation for Electoral Systems (IFES),West Bank and Gaza
International Medical Corps,West Bank and Gaza
International Relief & Development,West Bank and Gaza
International Youth Foundation,West Bank and Gaza
Islamic Relief USA,West Bank and Gaza
Life for Relief and Development,West Bank and Gaza
Lutheran World Relief (LWR),West Bank and Gaza
Mercy Corps,West Bank and Gaza
Operation USA,West Bank and Gaza
Physicians for Peace,West Bank and Gaza
Presbyterian Disaster Assistance,West Bank and Gaza
Project C.U.R.E,West Bank and Gaza
ProLiteracy Worldwide,West Bank and Gaza
Relief International,West Bank and Gaza
Save the Children,West Bank and Gaza
Solidarity Center,West Bank and Gaza
Stop Hunger Now,West Bank and Gaza
Unitarian Universalist Service Committee,West Bank and Gaza
World Vision,West Bank and Gaza
Adventist Development and Relief Agency International,Yemen
CARE,Yemen
CBM,Yemen
World Society for the Protection of Animals,Australia
CHF International,Yemen
Counterpart International,Yemen
Education Development Center (EDC),Yemen
Global Health Council,Yemen
Handicap International USA,Yemen
Heart to Heart International,Yemen
Information Management and Mine Action Programs (IMMAP),Yemen
International Center for Not-for-Profit Law,Yemen
International Foundation for Electoral Systems (IFES),Yemen
International Medical Corps,Yemen
International Relief & Development,Yemen
International Rescue Committee (IRC),Yemen
Islamic Relief USA,Yemen
Mercy Corps,Yemen
Pathfinder International,Yemen
World Vision,Albania
World Vision,Angola
World Vision,Armenia
Refugees International,Yemen
Relief International,Yemen
Save the Children,Yemen
U.S. Committee for Refugees & Immigrants,Yemen
USA for UNHCR,Yemen
Action Against Hunger | ACF International,Zambia
ActionAid International USA,Zambia
Adventist Development and Relief Agency International,Zambia
African Medical & Research Foundation,Zambia
Africare,Zambia
American Jewish World Service,Zambia
AmeriCares,Zambia
Baptist World Alliance,Zambia
Bethany Christian Service International,Zambia
Brother's Brother Foundation,Zambia
CARE,Zambia
Catholic Relief Services,Zambia
CBM,Zambia
ChildFund International,Zambia
Christian Reformed World Relief Committee,Zambia
CONCERN Worldwide,Zambia
Congressional Hunger Center,Zambia
Direct Relief International,Zambia
Episcopal Relief & Development,Zambia
Giving Children Hope,Zambia
Global Fund for Children,Zambia
Global Health Council,Zambia
GlobalGiving,Zambia
Habitat for Humanity International,Zambia
Heart to Heart International,Zambia
Heifer International,Zambia
International Center for Not-for-Profit Law,Zambia
International Center for Research on Women (ICRW),Zambia
International Rescue Committee (IRC),Zambia
International Youth Foundation,Zambia
IntraHealth International Inc.,Zambia
Jhpiego,Zambia
Lions Club International Foundation,Zambia
Management Sciences for Health (MSH),Zambia
Medical Care Development,Zambia
Operation USA,Zambia
Outreach International,Zambia
PATH,Zambia
PCI (Project Concern International),Zambia
Plan,Zambia
Planet Aid,Zambia
Population Action International,Zambia
Project C.U.R.E,Zambia
ReSurge International,Zambia
Save the Children,Zambia
Stop Hunger Now,Zambia
United Nations Foundation,Zambia
Water Aid America,Zambia
World Concern,Zambia
World Hope International,Zambia
World Relief,Zambia
World Vision,Zambia
Action Against Hunger | ACF International,Zimbabwe
ActionAid International USA,Zimbabwe
Adventist Development and Relief Agency International,Zimbabwe
African Medical & Research Foundation,Zimbabwe
Africare,Zimbabwe
American Friends Service Committee,Zimbabwe
American Jewish World Service,Zimbabwe
AmeriCares,Zimbabwe
America's Development Foundation,Zimbabwe
Baptist World Alliance,Zimbabwe
Brother's Brother Foundation,Zimbabwe
CARE,Zimbabwe
Catholic Relief Services,Zimbabwe
CBM,Zimbabwe
Christian Reformed World Relief Committee,Zimbabwe
Church World Service,Zimbabwe
CONCERN Worldwide,Zimbabwe
Direct Relief International,Zimbabwe
Episcopal Relief & Development,Zimbabwe
Friends of ACTED,Zimbabwe
Giving Children Hope,Zimbabwe
Global Health Council,Zimbabwe
GlobalGiving,Zimbabwe
Heart to Heart International,Zimbabwe
Heifer International,Zimbabwe
Helen Keller International,Zimbabwe
HelpAge USA,Zimbabwe
International Center for Not-for-Profit Law,Zimbabwe
International Foundation for Electoral Systems (IFES),Zimbabwe
International Medical Corps,Zimbabwe
International Orthodox Christian Charities (IOCC),Zimbabwe
International Relief & Development,Zimbabwe
International Rescue Committee (IRC),Zimbabwe
Jesuit Refugee Service,Zimbabwe
Lions Club International Foundation,Zimbabwe
Management Sciences for Health (MSH),Zimbabwe
Medical Emergency Relief International (Merlin),Zimbabwe
Mercy Corps,Zimbabwe
Pact,Zimbabwe
PATH,Zimbabwe
Plan,Zimbabwe
Planet Aid,Zimbabwe
Project C.U.R.E,Zimbabwe
Save the Children,Zimbabwe
Solar Cookers International,Zimbabwe
Solidarity Center,Zimbabwe
Stop Hunger Now,Zimbabwe
Taiwan Buddhist Tzu Chi Foundation,Zimbabwe
United Methodist Committee on Relief,Zimbabwe
World Concern,Zimbabwe
World Vision,Zimbabwe
